Model,Test,Few(n),n,Prompt,r,s,ex_selector,bleu,sari_add,sari_keep,sari_del,sari,fkgl,pbert_ref,rbert_ref,F1_bert_ref,pbert_src,rbert_src,F1_bert_src,ppl_mean,ppl_std,LENS,LENS_std,intra_dist1,intra_dist2,inter_dist1,inter_dist2,c_ratio,splits,lev_sim,copies,adds,deletes,lex_complexity
flan-t5-small,asset-test,asset-valid,3,p1,1,723,random,82.7245,2.0529,59.9469,39.773,33.9243,8.5769,84.1559,82.8142,82.6293,88.142,80.9339,84.4732,110.4194,112.0381,57.3139,16.9717,91.3288,98.7541,39.7924,86.1491,0.9051,1.0673,0.898,0.2841,0.0672,0.158,8.5226
flan-t5-small,asset-test,asset-valid,3,p2,1,287,random,72.1087,4.1062,57.0273,55.5016,38.8783,7.549,79.2008,76.8137,76.9515,79.9457,69.3686,74.5713,131.0143,151.6312,54.6703,19.8618,92.2115,99.0552,40.723,86.7245,0.8385,1.1727,0.819,0.1281,0.1223,0.2786,8.5427
flan-t5-small,asset-test,asset-valid,3,p2,1,489,random,73.8129,3.8307,57.3866,54.0616,38.4263,7.5695,79.6496,77.443,77.2699,80.6017,69.9682,75.1984,126.497,142.6419,53.9609,19.8863,91.6834,98.7509,40.3967,86.5291,0.8392,1.1527,0.832,0.1031,0.1075,0.2611,8.5291
flan-t5-small,asset-test,asset-valid,3,p2,1,723,random,72.3774,3.8912,58.0148,53.3268,38.4109,7.6175,79.4762,77.5978,77.5663,80.3605,70.9328,75.5742,122.4252,157.0052,55.7794,20.0397,91.35,98.4575,39.4013,85.2764,0.863,1.1811,0.8357,0.1393,0.1174,0.2472,8.5278
flan-t5-small,med-easi-test,med-easi-validation,3,p0,1,287,random,22.4031,1.085,48.7256,48.8666,32.8924,10.3888,42.4471,41.8044,42.0466,84.2716,74.6979,79.3213,133.6254,206.3344,49.0159,19.2157,91.1696,98.7633,35.2779,84.5391,0.9264,1.0022,0.8489,0.2367,0.0955,0.2085,8.9555
flan-t5-small,med-easi-test,med-easi-validation,3,p0,1,489,random,22.7293,0.9647,50.2868,52.0944,34.4486,10.1737,42.5432,41.6024,41.9869,84.6761,74.7239,79.5542,143.4505,239.3534,49.0433,18.4725,91.0888,98.7443,35.7253,84.7551,0.9091,1.0337,0.8566,0.2533,0.089,0.2104,8.9376
flan-t5-small,med-easi-test,med-easi-validation,3,p0,1,723,random,22.4716,0.6675,49.9547,51.4489,34.0237,10.0451,43.0217,42.3578,42.6144,85.65,76.0207,80.6933,138.5907,203.7396,49.5478,18.7615,91.1359,98.7509,36.2004,85.0639,0.9014,1.0365,0.8568,0.24,0.0852,0.2065,8.9712
flan-t5-small,med-easi-test,med-easi-validation,3,p1,1,287,random,20.5741,0.9937,47.2351,52.6612,33.63,9.9761,38.6266,38.508,38.5032,76.64,67.919,72.1743,151.983,260.3608,46.3813,19.752,90.727,98.8436,34.6477,84.5055,0.9473,1.0809,0.8158,0.19,0.1488,0.2418,8.8787
flan-t5-small,med-easi-test,med-easi-validation,3,p1,1,489,random,21.7551,1.2055,48.6353,52.3588,34.0665,10.0201,39.4808,39.4493,39.3945,78.398,70.0026,74.0745,150.2638,256.3923,45.2887,18.9214,89.5146,97.8092,33.8199,82.0668,0.9977,1.0771,0.8326,0.2,0.1435,0.2181,8.9463
flan-t5-small,med-easi-test,med-easi-validation,3,p1,1,723,random,21.1066,1.2487,49.1015,55.6613,35.3372,9.9405,38.6768,37.9254,38.2308,76.509,67.0376,71.6322,142.072,222.5799,46.3995,20.8196,90.2815,98.4669,34.7793,84.0989,0.94,1.0488,0.8149,0.19,0.1472,0.2408,8.9218
